sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Lepilemur dorsalis	RO:0002470	eats		Dypsis madagascariensis							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Hapalemur occidentalis	RO:0002470	eats		Dypsis madagascariensis							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Eulemur macaco	RO:0002470	eats		Dypsis madagascariensis							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Eulemur macaco	RO:0002470	eats		Dypsis madagascariensis							"Birkinshaw, C. . 2001. Fruit charateristics of species dispersed by black lemur (Eulemur macaco) in the Lokobe forest Madagascar. Biotropica. 478-486"
	Cuniculus paca	RO:0002470	eats		Attalea rostrata							"Beck-King, H.; von Helversen, O.; Beck-King, R.. 1999. Home range, population density, and food resources of Agouti paca (Rodentia : Agoutidae) in Costa Rica: A study using alternative methods. Biotropica. 675-685"
	Chelonoidis carbonaria	RO:0002470	eats		Desmoncus polycanthos							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Chelonoidis denticulata	RO:0002470	eats		Desmoncus polycanthos							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Sciurus granatensis	RO:0002470	eats		Aphandra natalia							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Dasyprocta fuliginosa	RO:0002470	eats		Aphandra natalia							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Sciurus variegatoides	RO:0002470	eats		Cocos nucifera							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Ara ararauna	RO:0002470	eats		Cocos nucifera							"Santos, A. A.; Ragusa-Netto, J.. 2014. Plant food resources exploited by Blue-and-Yellow Macaws (Ara ararauna, Linnaeus 1758) at an urban area in Central Brazil. Brazilian Journal of Biology. 429-437"
	Pecari tajacu	RO:0002470	eats		Phytelephas macrocarpa							"Beck, Harald. 2006. A review of peccary-palm interactions and their ecological ramifications across the Neotropics. Journal of Mammalogy. 519-530"
	Tayassu pecari	RO:0002470	eats		Phytelephas macrocarpa							"Beck, Harald. 2006. A review of peccary-palm interactions and their ecological ramifications across the Neotropics. Journal of Mammalogy. 519-530"
	Anodorhynchus hyacinthinus	RO:0002470	eats		Attalea funifera							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Anodorhynchus hyacinthinus	RO:0002470	eats		Attalea funifera							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Papio anubis	RO:0002470	eats		Borassus aethiopum							"Barot, S.; Gignoux, J.; Menaut, J. C.. 1999. Seed shadows, survival and recruitment: how simple mechanisms lead to dynamics of population recruitment curves. Oikos. 320-330"
	Papio papio	RO:0002470	eats		Borassus aethiopum							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Pan troglodytes	RO:0002470	eats		Borassus aethiopum							"Carvalho, Joana S.; Vicente, Luis; Marques, Tiago A.. 2015. Chimpanzee (Pan troglodytes verus) Diet Composition and Food Availability in a Human-Modified Landscape at Lagoas de Cufada Natural Park, Guinea-Bissau. International Journal of Primatology. 802-822"
	Pan troglodytes	RO:0002470	eats		Borassus aethiopum							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Loxodonta africana	RO:0002470	eats		Borassus aethiopum							"Barot, S.; Gignoux, J.; Menaut, J. C.. 1999. Seed shadows, survival and recruitment: how simple mechanisms lead to dynamics of population recruitment curves. Oikos. 320-330"
